date,description,amount,expected_category
2025-12-01,"FMG INSURANCE DD 0044817",-1386.90,Insurance
2025-12-05,"COUNTDOWN TE RAPA",-246.80,Personal/Drawings
2025-12-08,"Z ENERGY TE RAPA",-212.40,Fuel
2025-12-09,"RD1 HAMILTON",-1842.70,Feed
2025-12-10,"WAGES DIRECT CREDIT",-4180.22,Wages
2025-12-12,"PGG WRIGHTSON LIVESTOCK PROCEEDS 018330",26880.00,Livestock Sales
2025-12-14,"MITRE 10 MEGA TE RAPA",-184.35,Repairs
2025-12-15,"SEALES WINSLOW LTD",-5912.44,Feed
2025-12-18,"VETORA WAIKATO",-684.20,Vet & Animal Health
2025-12-19,"PAK N SAVE CLARENCE ST",-318.55,Personal/Drawings
2025-12-20,"FONTERRA CO-OP PAYMENT 000216",92410.18,Milk Income
2025-12-20,"IRD PAYE 043-712-889",-1894.00,Wages
2025-12-22,"WAITOMO FUEL LTD BULK DELIVERY",-2204.90,Fuel
2025-12-23,"THE WAREHOUSE TE RAPA",-211.98,Personal/Drawings
2025-12-24,"WAGES DIRECT CREDIT",-4301.77,Wages
2025-12-27,"NETFLIX.COM AUCKLAND",-22.99,Personal/Drawings
2025-12-28,"ANZ RURAL LOAN INTEREST 2201",-7512.44,Interest
2026-01-01,"FMG INSURANCE DD 0044817",-1386.90,Insurance
2026-01-05,"NPD PUKETE",-168.24,Fuel
2026-01-07,"FARMLANDS TE AWAMUTU",-932.60,Feed
2026-01-07,"WAGES DIRECT CREDIT",-4228.09,Wages
2026-01-09,"COUNTDOWN TE RAPA",-287.14,Personal/Drawings
2026-01-12,"BALLANCE AGRI-NUTRIENTS LTD",-6240.80,Fertiliser
2026-01-14,"CAMBRIDGE VET SERVICES",-412.80,Vet & Animal Health
2026-01-15,"SEALES WINSLOW LTD",-6081.33,Feed
2026-01-16,"Z ENERGY TE RAPA",-241.87,Fuel
2026-01-20,"FONTERRA CO-OP PAYMENT 000223",88204.55,Milk Income
2026-01-20,"IRD PAYE 043-712-889",-1922.00,Wages
2026-01-21,"PGG WRIGHTSON LIVESTOCK PROCEEDS 018702",45850.00,Livestock Sales
2026-01-21,"WAGES DIRECT CREDIT",-4415.63,Wages
2026-01-23,"PGG WRIGHTSON LTD",-893.20,Feed
2026-01-26,"BRIDGESTONE TYRE CENTRE HAMILTON",-742.00,Repairs
2026-01-27,"NETFLIX.COM AUCKLAND",-22.99,Personal/Drawings
2026-01-28,"ANZ RURAL LOAN INTEREST 2201",-7512.44,Interest
2026-01-30,"KMART THE BASE TE RAPA",-132.40,Personal/Drawings
2026-02-20,"FONTERRA CO-OP PAYMENT 000231",78412.55,Milk Income
